"","bin","nMonkeys","wtAvgRestPct","wtSdRestPct","wtSeRestPct","wtAvgMovingPct","wtSdMovingPct","wtSeMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtSeFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtSeOtherPct","wtAvgNumNN","wtSdNumNN","wtSeNumNN","wtAvgDistNN","wtSdDistNN","wtSeDistNN","wtAvgAnthDist","wtSdAnthDist","wtSeAnthDist"
"1","0",139,75.6321629000287,28.3958475601733,2.4085043549419,9.713996908941,14.2930400187292,1.21231983153589,13.4490742876742,21.7278122441563,1.84292898116583,11.5216334467671,14.9608967543836,1.26896670051531,1.9710921656221,1.40389187849497,0.119076554980705,2.75006195643236,2.11949700488584,0.179773389603402,0,0,0
"2","1",292,79.2939527715471,28.7289688804514,1.68123573776498,7.3901337786951,12.3965173994394,0.725451308833593,12.3842929868873,23.6980834860501,1.38682543877849,8.78965922444183,14.6813639102066,0.859161837227222,2.10963570695934,1.42893253806409,0.0836219517604501,2.9719645709643,2.46766441388686,0.144409136948193,6.51513964778989,4.41595350373899,0.258424132021192
"3","2",66,70.8333548783859,31.2235588386937,3.84335441113573,7.83543147673582,11.5364988481202,1.42004484389647,20.2873903184462,24.823545313949,3.05556720408701,9.93788819875776,14.9600008196025,1.84144880593691,2.01956529475613,1.61031828860231,0.198216479095346,3.46126068596307,3.20316060598641,0.39428181483713,19.5691442948344,3.81353142172031,0.469413268596088
"4","3",20,71.8042123361272,30.6132743601807,6.84533624832153,11.5242854072641,17.3766817657095,3.88554416515076,16.6715022566086,20.8252649417464,4.65667080591882,15.6028368794326,15.4347156688555,3.45130734489421,2.099713282749,1.40200847916629,0.313498626444692,2.60353037766831,2.15427461539455,0.481710448222444,39.5044298445035,4.45129103327839,0.995338933804577
"5","4",86,82.5397282692299,27.2918932251957,2.94296053244499,4.96976250794579,9.29136477790718,1.00191363084648,11.1936174757718,22.8511941496456,2.46410763616648,8.52090032154341,14.9646748370503,1.61368238776685,2.65224503796222,2.33958329008488,0.252283754310277,2.60570355493528,2.2095464395445,0.238261520097867,52.4715292945097,3.67649206216212,0.396446334723369
"6","5",47,83.2758736109252,23.4975750366195,3.42747358293765,5.52035715879604,9.64003439858946,1.40614353558966,10.467392205242,17.6555966378365,2.57533345346828,8.83652430044183,13.3339762065585,1.94496032600278,1.82797090729783,1.2729212437955,0.18567464640372,3.34414044494094,2.73800001322285,0.399378348649986,67.2372967430191,4.67299383096301,0.681626205423133
"7","6",65,78.5435649120994,31.488925726553,3.9057205449923,4.99693344251534,9.7813813571163,1.21323104054575,14.9554022964583,26.5543016866176,3.29365576190138,8.51293103448276,14.032214405071,1.74048198943185,1.72288320358597,1.20253994891246,0.149156723396277,2.76318349532201,2.50003570174145,0.310091264729046,84.5294731337608,3.41907087493062,0.424083548513713
"8","7",122,85.0096423319564,25.648719175378,2.32212592557789,5.65935227918699,11.4663971426275,1.03811881972759,8.79447121595882,19.9421781550792,1.80547997698291,8.98071625344353,14.5273574191059,1.31524514196507,1.5997532854295,1.3034099737433,0.118005194372109,3.1299558516085,2.92704302223371,0.265002023716477,98.0274945162975,4.4134475863572,0.399574769850402
"9","8",99,81.732298313931,27.5478767703744,2.76866578843271,6.61978327794654,11.5579278539982,1.16161545593059,11.0259553371798,21.3412692994342,2.14487826715618,8.57142857142857,12.4143383113526,1.24768794543305,1.27145730657104,1.13407339281648,0.113978664505988,3.59828739382311,3.01989196689495,0.303510562472695,112.655135297687,4.73199410706629,0.475583301918537
"10","9",138,76.1226815835618,29.7853391033478,2.53549644325887,10.1335438535928,15.4531324590611,1.31545799264558,12.6614827715072,22.9587934791244,1.9543822887446,13.398533007335,16.3948206946442,1.39561981869345,1.82273386743975,1.53395523204226,0.130578940916753,2.51748185444865,2.02714701845213,0.17256221382655,127.496046722494,4.01030753189025,0.341380047687257
"11","10",80,80.4834395830159,27.669908233196,3.09358978703036,8.31293353539116,13.7511206865923,1.5374220311012,10.2523324133494,21.5182217643884,2.4058103310044,12.9661016949153,14.6304365380558,1.63573253197947,1.50272200635996,1.28339031707603,0.14348739953235,2.47564724966976,1.99979206764195,0.223583550205613,141.286867742542,4.28844107834155,0.47946228843371
"12","11",41,80.7922951365574,25.4396945374859,3.9730127972162,10.1393278852295,13.5661031663493,2.1186693656577,8.74050812575403,16.5945549176037,2.59163406834924,9.34426229508197,13.0514772718918,2.03829830375498,1.6654632505176,1.16119888295198,0.181348797851458,2.53231072557805,2.01954890838091,0.315400550339875,155.051199363934,3.43558508139829,0.536548246450344
"13","12",6,82.1581196581197,14.5887520365601,5.95583307892685,9.50854700854701,9.35454819304902,3.81897830787408,5.55555555555556,12.4921948165977,5.09991717801754,14.4444444444444,14.1774028496248,5.78790047657682,1.26025641025641,1.06389384366422,0.434332842910945,4.32051282051282,3.58186896098113,1.46229187998612,170.10333505,3.42312258371203,1.39748394284868
"14","13",10,89.2294372294372,14.6463773896292,4.63159120216198,5.29437229437229,7.24879249975454,2.29226945851699,5.47619047619048,11.3089981543414,3.57621922223592,6.66666666666667,10.3625552030168,3.27692768207616,1.8479797979798,1.8713783327906,0.591781789550687,2.54648148148148,1.39703631856898,0.441781674065457,184.27348118,3.84238384890379,1.21506846071802
"15","14",2,96.6666666666667,3.39031751810405,2.39731650742692,3.33333333333333,3.39031751810405,2.39731650742692,0,0,0,0,0,0,1,0,0,0.982142857142857,0.0544872458266723,0.0385283010122184,205.24564735,0.837906108631768,0.592489091411155
"16","15",1,90,0,0,10,0,0,0,0,0,33.3333333333333,0,0,NA,0,0,0.888888888888889,0,0,212.0917019,0,0
"17","16",1,85.7142857142857,0,0,14.2857142857143,1.84341261069239e-15,1.84341261069239e-15,0,0,0,50,0,0,3,0,0,1.125,0,0,225.9899648,0,0
"18","17",1,44.4444444444444,0,0,44.4444444444444,0,0,11.1111111111111,0,0,40,0,0,NA,0,0,NA,0,0,250.7170925,0,0
"19","19",6,63.1565656565657,32.3622457870881,13.2118315181501,21.5981240981241,21.4712383177282,8.76559633735474,15.2453102453102,18.9977040441764,7.75578019877342,14.4444444444444,13.0780810803447,5.33910424359851,4.85,0.521568689920211,0.212929526019403,1.01458333333333,0.669618509108069,0.27337061160633,279.101408133333,2.7329321268348,1.11571486873407
