"","bin","nMonkeys","wtAvgRestPct","wtSdRestPct","wtSeRestPct","wtAvgMovingPct","wtSdMovingPct","wtSeMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtSeFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtSeOtherPct","wtAvgNumNN","wtSdNumNN","wtSeNumNN","wtAvgDistNN","wtSdDistNN","wtSeDistNN","wtAvgRivDist","wtSdRivDist","wtSeRivDist"
"1","0",14,51.0522810522811,33.4546148644019,8.9411219163619,8.6996336996337,12.2497656449564,3.27388757940719,39.7718947718948,34.3297981997896,9.17502450147869,8.57142857142857,10.8428153116445,2.89786428601717,1.86810606060606,0.685971726758333,0.183333655610242,2.97054309327037,1.85173376725352,0.494896666327347,0,0,0
"2","1",59,89.0236788133984,19.1774999459611,2.49669783329949,5.90554500017117,10.7267383694454,1.39650238669431,4.10130173564753,13.2634958547159,1.72676008112414,4.90654205607477,9.68836012448469,1.2613170537967,2.32849923452142,1.82231610889513,0.23724534967987,3.23609678092642,2.98592686508477,0.388734566833772,8.68356326390537,4.25237234921633,0.553611725229441
"3","2",72,68.3188827336226,34.0183162453911,4.00909701694409,13.0139944085031,18.4048390691589,2.16903108540822,17.3917764958227,27.1691922462335,3.20192001277878,10.6936416184971,14.2448833852824,1.67877560649079,2.20827727102237,1.51675362672433,0.17875112914101,3.32313880748266,2.59482630061225,0.305803212194021,22.3730623119557,4.02511849034818,0.474364763267427
"4","3",78,77.5709798095857,25.7124630565311,2.91136314102015,9.63943811128798,13.2857939341329,1.50431993519963,11.8814196428137,17.6318385494298,1.99641258592647,13.4038800705467,17.9221023215041,2.02927848622287,1.69377106259374,1.11036588633899,0.125724179259924,2.83070926627354,2.12589186870558,0.240709854001006,37.7903912221076,4.33741139810638,0.491115131371285
"5","4",154,78.8891281470787,29.498450247214,2.37705286123652,6.39124874438479,10.6587339734509,0.858905260324424,13.4041048517639,23.9027243749521,1.92613642041056,9.84982332155477,16.1407067894124,1.30065521865089,2.28156224021657,1.54011241131928,0.124105794822158,2.71078344469738,2.35825638730878,0.190033715195294,53.5821763524117,3.91217090281962,0.315251715268396
"6","5",93,80.3903715274031,27.686625000838,2.87096927159848,6.18358802598332,11.9391244961193,1.23802953798485,12.6912865891558,21.8593159513132,2.2667054721362,8.00881704628949,12.0713693137441,1.25174268676038,2.40928507229448,2.29613041861866,0.23809763289087,3.01017002103479,2.41635420402453,0.250564258693222,66.3917333144306,4.73862250147283,0.491372263358998
"7","6",84,79.45358349915,28.0952743292629,3.06544574486659,5.92365944582693,9.51389869941127,1.03805145105224,12.9392052483185,23.1593327654843,2.52689036767864,10.1806239737274,15.1889790580637,1.65725348244467,1.78296077123797,1.30719712756949,0.142626899650382,2.65064271324805,2.39318097494625,0.261117451652843,83.7195449032102,4.15983189159587,0.453874869560224
"8","7",144,85.7914948900864,25.0766176502327,2.08971813751939,5.30411893792176,11.2133858806848,0.934448823390401,8.21916372620598,18.9698553726332,1.58082128105276,7.41784037558685,12.9621390216246,1.08017825180205,1.68076943356363,1.28363721210533,0.106969767675444,3.14447456985071,2.91292207879225,0.242743506566021,98.7751983807793,4.33293872257702,0.361078226881419
"9","8",137,79.6631815555772,28.2014514416042,2.40941259978619,6.64604227228482,10.8096459757557,0.923530381659403,13.1168843581865,23.3066629828021,1.99122259951807,8.99602385685885,12.7419379112773,1.08861722286513,1.54473676903624,1.27597200522211,0.109013645369372,3.52826658129471,2.86243240106403,0.244554104154563,111.919843346421,4.79924288732206,0.41002699120263
"10","9",176,77.1368482601201,29.248356448635,2.20467781987941,9.0497713798405,14.2468781832945,1.07389884927019,12.9250214071643,23.0414685740492,1.73681604270196,12.0967741935484,15.7363699999869,1.18617351936731,1.88880608971138,1.47154691313346,0.110922022097032,2.48842456059922,2.11410043474979,0.159356316163461,127.528578699002,3.86868145714386,0.291612836971626
