LAT,LONG,WAYPOINT,#Howl bouts per 30 min sample,roar bouts per hour,Anth Distance (m),Raw River Distance (m)
10.43127598,-84.00542102,OHS244,,0,8.534262153,16.12430914
10.43130498,-84.005187,OHS245,,0,9.225449986,0
10.43163599,-84.00545203,OHS246,,0,4.460767962,4.525745465
10.43158402,-84.00548103,OHS247,,0,9.741807164,9.790357882
10.43158703,-84.00551196,OHS248,,0,6.703886885,12.74207867
10.43158502,-84.00548103,OHS249,,0,9.695135763,9.744458814
10.43164504,-84.00549796,OHS250,,0,6.929794282,8.703177021
10.43164001,-84.00552898,OHS251,,0,3.829292306,12.0310405
10.43163196,-84.005533,OHS252,,0,3.659746208,12.79872138
10.431625,-84.00554297,OHS253,,0,2.830412889,14.11175829
10.431625,-84.00557097,OHS254,,0,0,16.90943725
10.43139601,-84.00528498,OHS255,,0,2.294513425,0
10.43127799,-84.00479497,OHS256,,0,14.02373047,13.96311455
10.43167898,-84.00546502,OHS257,,0,3.858246667,3.868390697
10.43189197,-84.00578303,OHS258,,0,11.48051831,25.87942235
10.43132703,-84.00478802,OHS259,,0,17.53850696,17.48084302
10.43123399,-84.00471602,OHS260,,0,16.87545951,18.74908841
10.43085697,-84.00407799,OHS261,,2,1.300298436,54.64831788
10.43087499,-84.00403398,OHS262,,0,0,59.76306975
10.43089,-84.00404404,OHS263,,0,0,59.77663858
10.43090198,-84.00405301,OHS264,,0,0,59.70281456
10.43090198,-84.00405502,OHS265,,0,0,59.52009225
10.43075102,-84.00397497,OHS266,,0,0,56.41709454
10.43073602,-84.00396198,OHS267,,0,0,56.31203166
10.43076703,-84.003966,OHS268,,0,0,58.35286368
10.43075203,-84.00398201,OHS269,,0,0,55.93682986
10.43084197,-84.00393398,OHS270,,0,0,66.62577357
10.43068799,-84.00403096,OHS271,,0,5.89014441,47.15843172
10.43069202,-84.00406198,OHS272,,0,7.799169425,45.01209052
10.43070802,-84.00404102,OHS273,,0,4.951829389,47.89655064
10.43079302,-84.00402401,OHS274,,0,0,55.61793389
10.43104196,-84.00430497,OHS275,,0,0,45.31501684
10.43136299,-84.00523704,OHS276,,0,6.080418273,0
10.43140196,-84.00529998,OHS277,,0,0.950969415,0
10.43133298,-84.00535002,OHS278,,0,6.698794425,6.724322917
10.43143096,-84.00526201,OHS279,,0,5.911405928,0
10.43131404,-84.00526503,OHS280,,0,1.423331311,0
10.431078,-84.00550802,OHS281,,0,5.3156081,32.19407087
10.43089402,-84.00584799,OHS282,,0,0.084932938,74.0096956
10.43101698,-84.005633,OHS283,,0,0.117499559,47.34750319
10.431063,-84.00557198,OHS284,,0,0.175179935,39.3605843
10.43114003,-84.00563903,OHS285,,0,0,43.52873061
10.43164101,-84.00541699,OHS286,,2,0.726984538,0.797052037
10.43159902,-84.00551104,OHS287,,2,6.74272174,12.10381737
10.43161,-84.00554499,OHS288,,0,2.969539318,14.99464517
10.43161201,-84.00552403,OHS289,,0,5.229635489,12.80957538
10.43182399,-84.00551003,OHS290,,0,1.730185635,1.730599855
10.43180597,-84.00551498,OHS291,,0,3.057317719,3.069578219
10.43178703,-84.00557801,OHS292,,0,5.745618495,10.213553
10.43179499,-84.00583601,OHS293,,0,1.067202087,35.57022897
10.43180203,-84.00566099,OHS294,,0,1.991258078,17.78325323
10.43179398,-84.00561104,OHS295,,0,4.278760138,13.16169654
10.43172601,-84.00577398,OHS296,,0,0,32.53276547
10.431796,-84.00582201,OHS297,,0,1.056202957,34.1182342
10.43178703,-84.00578999,OHS298,,0,0,31.29942633
10.43189004,-84.00574297,OHS299,,2,10.95465994,21.96530477
10.43191703,-84.005777,OHS300,,0,14.29970195,24.13474816
10.430976,-84.005725,OHS3001,0,0,58.363,58.360
10.431002,-84.005743,OHS3002,0,0,59.284,59.282
10.430951,-84.005685,OHS3003,0,0,55.073,55.066
10.433928,-84.007923,OHS3004,0,0,133.262,133.308
10.431004,-84.005684,OHS3005,0,0,53.121,53.100
10.433928,-84.008008,OHS3006,1,2,139.228,139.257
10.43458,-84.007572,OHS3007,0,0,53.173,53.226
10.431311,-84.00503,OHS3009,0,0,7.197,0.000
10.43183103,-84.00588102,OHS301,,0,5.437306302,38.4427049
10.431345,-84.00509,OHS3010,0,0,12.277,0.000
10.431357,-84.00502,OHS3011,0,0,4.577,0.000
10.431357,-84.00502,OHS3012,0,0,4.577,0.000
10.431075,-84.005734,OHS3013,0,0,55.749,55.756
10.433343,-84.004582,OHS3014,1,2,105.726,105.714
10.433522,-84.004595,OHS3015,1,2,106.043,106.004
10.433516,-84.004554,OHS3016,0,0,110.458,110.431
10.433517,-84.004571,OHS3017,0,0,108.613,108.582
10.433531,-84.004579,OHS3018,0,0,107.879,107.837
10.4335,-84.004609,OHS3019,0,0,104.296,104.285
10.43187001,-84.00599602,OHS302,,0,10.25029385,48.10942247
10.433502,-84.004587,OHS3020,0,0,106.717,106.706
10.433266,-84.004523,OHS3021,1,2,111.334,111.316
10.433269,-84.004494,OHS3022,1,2,114.472,114.459
10.43326,-84.004497,OHS3023,0,0,113.874,113.870
10.433268,-84.004479,OHS3024,1,2,116.016,116.009
10.433269,-84.004481,OHS3025,1,2,115.837,115.828
10.432726,-84.004552,OHS3026,1,2,92.538,92.504
10.432788,-84.004636,OHS3027,0,0,85.312,85.329
10.432798,-84.004454,OHS3028,0,0,104.941,104.917
10.432788,-84.004645,OHS3029,0,0,84.355,84.372
10.43186196,-84.00591496,OHS303,,0,9.290583839,40.42430523
10.432785,-84.004633,OHS3030,0,0,85.552,85.567
10.432774,-84.004634,OHS3031,0,0,85.161,85.157
10.433025,-84.004279,OHS3032,0,0,129.616,129.645
10.432128,-84.004738,OHS3033,0,0,55.604,55.592
10.43219,-84.004678,OHS3034,0,0,63.794,63.802
10.432173,-84.004649,OHS3035,0,0,66.348,66.334
10.431798,-84.004638,OHS3036,0,0,51.062,51.034
10.431755,-84.004619,OHS3037,1,2,51.045,51.019
10.43132,-84.004807,OHS3038,0,0,15.356,15.305
10.431285,-84.004767,OHS3039,1,2,17.049,16.986
10.43183296,-84.00589501,OHS304,,0,5.772093039,39.75307425
10.431497,-84.003714,OHS3040,0,0,127.135,127.092
10.431498,-84.003709,OHS3041,0,0,127.652,127.608
10.431492,-84.003705,OHS3042,0,0,127.649,127.601
