lat,lon,GPS waypoint for howl,Anth Distance (Perimeter + Camp),Raw River Distance,Length of howl bout in seconds,Howl number in bout,Howl number/minute
10.43103903,-84.004225,OHH2016,0,52.4521789,940,123,56400
10.43102201,-84.00419902,OHH2020,0,53.76615861,5,3,300
10.43104003,-84.00421897,OHH2021,0,53.06431797,587,7,35220
10.43106602,-84.00423297,OHH2023,0,53.37799154,2,3,120
10.43106199,-84.004239,OHH2024,0,52.58060966,30,5,1800
10.43130297,-84.00476103,OHH2025,18.63837729,18.57849974,1749,555,104940
10.43282001,-84.00468903,OHH2026,80.54616891,80.52764767,312,139,18720
10.43286997,-84.00473798,OHH2027,76.67197882,76.64923553,1056,539,63360
10.43848601,-84.01377099,OHH2029,137.4635657,137.5436595,380,28,22800
10.43098203,-84.00586903,OHH2031,0,73.05654115,33,14,1980
10.43098203,-84.00586903,OHH2032,0,73.05654115,268,11,16080
10.43150699,-84.00361698,OHH2034,0,136.589196,549,45,32940
10.431495,-84.00363701,OHH2037,0,134.0250428,18,6,1080
10.43108,-84.005842,OHH3001,0.000,66.730,459,6,27540
10.432262,-84.004882,OHH3004,44.490,44.484,414,,24840
10.433262,-84.004518,OHH3006,111.730,111.717,189,69,11340
10.433466,-84.004562,OHH3007,109.086,109.094,4,4,240
10.433237,-84.004531,OHH3008,109.593,109.599,6,7,360
10.433273,-84.004524,OHH3010,111.358,111.330,2,18,120
10.433282,-84.004517,OHH3012,112.212,112.187,611,400,36660
10.432524,-84.004855,OHH3014,54.938,54.892,65,110,3900
10.431831,-84.004656,OHH3015,13.893,50.802,137,46,8220
10.431342,-84.004652,OHH3016,10.177,31.035,103,67,6180
10.431529,-84.003679,OHH3017,0.549,132.258,6,5,360
10.432528,-84.006679,OHH3018,89.655,89.726,46,24,2760
10.432556,-84.00666,OHH3021,86.473,86.588,5,5,300
10.425479,-84.003573,OHH3022,291.109,291.250,1902,219,114120
10.425149,-84.004006,OHH3031,339.657,339.650,266,20,15960
10.425107,-84.004042,OHH3033,345.370,345.350,168,63,10080
